,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
56,14,34,68,73,19,36,0,21,39,72,41,75,75,75,75,75,75,75
57,14,34,68,73,19,43,0,21,39,72,41,75,75,75,75,75,75,75
58,14,34,68,73,19,43,36,21,39,72,41,75,75,75,75,75,75,75
59,14,34,68,73,19,43,36,0,39,72,41,75,75,75,75,75,75,75
60,4,74,27,35,73,19,36,0,71,72,38,50,51,75,75,75,75,75
62,4,27,35,73,19,36,0,71,72,38,50,51,75,75,75,75,75,75
63,4,74,35,73,19,36,0,71,72,38,50,51,75,75,75,75,75,75
64,4,74,27,73,19,36,0,71,72,38,50,51,75,75,75,75,75,75
65,4,74,27,35,19,36,0,71,72,38,50,51,75,75,75,75,75,75
66,4,74,27,35,73,36,0,71,72,38,50,51,75,75,75,75,75,75
67,4,74,27,35,73,19,0,71,72,38,50,51,75,75,75,75,75,75
68,4,74,27,35,73,19,36,71,72,38,50,51,75,75,75,75,75,75
69,4,74,27,35,73,19,36,0,72,38,50,51,75,75,75,75,75,75
70,5,34,68,27,73,19,43,36,0,72,75,75,75,75,75,75,75,75
71,5,68,27,73,19,43,36,0,72,75,75,75,75,75,75,75,75,75
72,5,34,27,73,19,43,36,0,72,75,75,75,75,75,75,75,75,75
73,5,34,68,73,19,43,36,0,72,75,75,75,75,75,75,75,75,75
74,5,34,68,27,19,43,36,0,72,75,75,75,75,75,75,75,75,75
75,5,34,68,27,73,43,36,0,72,75,75,75,75,75,75,75,75,75
76,5,34,68,27,73,19,36,0,72,75,75,75,75,75,75,75,75,75
77,5,34,68,27,73,19,43,0,72,75,75,75,75,75,75,75,75,75
78,5,34,68,27,73,19,43,36,72,75,75,75,75,75,75,75,75,75
79,5,34,68,27,73,19,43,36,0,75,75,75,75,75,75,75,75,75
80,6,34,68,27,29,73,19,43,36,0,72,14,61,75,75,75,75,75
81,6,34,68,27,29,73,19,43,36,0,72,3,14,61,75,75,75,75
83,6,68,27,29,73,19,43,36,0,72,3,14,61,75,75,75,75,75
84,6,34,27,29,73,19,43,36,0,72,3,14,61,75,75,75,75,75
85,6,34,68,29,73,19,43,36,0,72,3,14,61,75,75,75,75,75
86,6,34,68,27,73,19,43,36,0,72,3,14,61,75,75,75,75,75
87,6,34,68,27,29,19,43,36,0,72,3,14,61,75,75,75,75,75
88,6,34,68,27,29,73,43,36,0,72,3,14,61,75,75,75,75,75
89,6,34,68,27,29,73,19,36,0,72,3,14,61,75,75,75,75,75
90,12,12,68,27,70,18,29,9,62,36,39,72,63,38,47,11,7,75
92,12,68,27,70,18,29,9,62,36,39,72,63,38,47,11,7,75,75
93,12,12,27,70,18,29,9,62,36,39,72,63,38,47,11,7,75,75
94,12,12,68,70,18,29,9,62,36,39,72,63,38,47,11,7,75,75
95,12,12,68,27,18,29,9,62,36,39,72,63,38,47,11,7,75,75
96,12,12,68,27,70,29,9,62,36,39,72,63,38,47,11,7,75,75
97,12,12,68,27,70,18,9,62,36,39,72,63,38,47,11,7,75,75
98,12,12,68,27,70,18,29,62,36,39,72,63,38,47,11,7,75,75
99,12,12,68,27,70,18,29,9,36,39,72,63,38,47,11,7,75,75
100,1,17,12,27,18,29,28,63,38,47,65,53,57,55,15,11,37,41
102,1,12,27,18,29,28,63,38,47,65,53,57,55,15,11,37,41,75
103,1,17,27,18,29,28,63,38,47,65,53,57,55,15,11,37,41,75
104,1,17,12,18,29,28,63,38,47,65,53,57,55,15,11,37,41,75
105,1,17,12,27,29,28,63,38,47,65,53,57,55,15,11,37,41,75
106,1,17,12,27,18,28,63,38,47,65,53,57,55,15,11,37,41,75
107,1,17,12,27,18,29,63,38,47,65,53,57,55,15,11,37,41,75
108,1,17,12,27,18,29,28,38,47,65,53,57,55,15,11,37,41,75
109,1,17,12,27,18,29,28,63,47,65,53,57,55,15,11,37,41,75
110,11,12,27,18,29,9,62,38,11,26,56,75,75,75,75,75,75,75
111,11,12,27,18,29,9,62,38,47,11,26,56,75,75,75,75,75,75
113,11,27,18,29,9,62,38,47,11,26,56,75,75,75,75,75,75,75
114,11,12,18,29,9,62,38,47,11,26,56,75,75,75,75,75,75,75
115,11,12,27,29,9,62,38,47,11,26,56,75,75,75,75,75,75,75
116,11,12,27,18,9,62,38,47,11,26,56,75,75,75,75,75,75,75
117,11,12,27,18,29,62,38,47,11,26,56,75,75,75,75,75,75,75
118,11,12,27,18,29,9,38,47,11,26,56,75,75,75,75,75,75,75
119,11,12,27,18,29,9,62,47,11,26,56,75,75,75,75,75,75,75
120,9,27,69,13,40,35,22,49,24,10,64,20,33,1,75,75,75,75
122,9,69,13,40,35,22,49,24,10,64,20,33,1,75,75,75,75,75
124,9,27,13,40,35,22,49,24,10,64,20,33,1,75,75,75,75,75
125,9,27,69,40,35,22,49,24,10,64,20,33,1,75,75,75,75,75
126,9,27,69,13,35,22,49,24,10,64,20,33,1,75,75,75,75,75
127,9,27,69,13,40,22,49,24,10,64,20,33,1,75,75,75,75,75
128,9,27,69,13,40,35,49,24,10,64,20,33,1,75,75,75,75,75
129,9,27,69,13,40,35,22,24,10,64,20,33,1,75,75,75,75,75
130,7,27,40,70,54,62,21,26,25,42,33,1,75,75,75,75,75,75
132,7,40,70,54,62,21,26,25,42,33,1,75,75,75,75,75,75,75
133,7,27,70,54,62,21,26,25,42,33,1,75,75,75,75,75,75,75
134,7,27,40,54,62,21,26,25,42,33,1,75,75,75,75,75,75,75
135,7,27,40,70,62,21,26,25,42,33,1,75,75,75,75,75,75,75
136,7,27,40,70,54,21,26,25,42,33,1,75,75,75,75,75,75,75
137,7,27,40,70,54,62,26,25,42,33,1,75,75,75,75,75,75,75
138,7,27,40,70,54,62,21,25,42,33,1,75,75,75,75,75,75,75
139,7,27,40,70,54,62,21,26,42,33,1,75,75,75,75,75,75,75
140,8,68,27,4,62,28,43,8,25,59,33,46,75,75,75,75,75,75
141,8,68,27,4,62,28,43,8,25,23,59,33,46,75,75,75,75,75
143,8,27,4,62,28,43,8,25,23,59,33,46,75,75,75,75,75,75
144,8,68,4,62,28,43,8,25,23,59,33,46,75,75,75,75,75,75
145,8,68,27,62,28,43,8,25,23,59,33,46,75,75,75,75,75,75
146,8,68,27,4,28,43,8,25,23,59,33,46,75,75,75,75,75,75
147,8,68,27,4,62,43,8,25,23,59,33,46,75,75,75,75,75,75
148,8,68,27,4,62,28,8,25,23,59,33,46,75,75,75,75,75,75
149,8,68,27,4,62,28,43,25,23,59,33,46,75,75,75,75,75,75
