,Disease,Symptom_Count,Symptoms,Disease_Encoded,Symptom_Encoded
13,Migraine,8,"[' acidity', ' indigestion', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 8, 25, 60, 20, 33, 67]"
14,Migraine,8,"[' acidity', ' indigestion', ' headache', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 25, 60, 20, 33, 67]"
15,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 8, 60, 20, 33, 67]"
16,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 8, 25, 20, 33, 67]"
17,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 8, 25, 60, 33, 67]"
18,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' visual_disturbances']",10,"[2, 31, 28, 8, 25, 60, 20, 67]"
19,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability']",10,"[2, 31, 28, 8, 25, 60, 20, 33]"
20,Chicken pox,11,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 28, 36, 39, 63, 38, 52]"
21,Chicken pox,10,"[' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[58, 27, 35, 29, 28, 36, 39, 63, 38, 52]"
22,Chicken pox,10,"['itching', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 27, 35, 29, 28, 36, 39, 63, 38, 52]"
23,Chicken pox,10,"['itching', ' skin_rash', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 35, 29, 28, 36, 39, 63, 38, 52]"
24,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 29, 28, 36, 39, 63, 38, 52]"
25,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 28, 36, 39, 63, 38, 52]"
26,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 36, 39, 63, 38, 52]"
27,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 28, 39, 63, 38, 52]"
28,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 28, 36, 63, 38, 52]"
29,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 28, 36, 39, 38, 52]"
30,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 41, 52]"
31,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' red_spots_over_body']",2,"[58, 12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 52]"
32,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain']",2,"[58, 12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41]"
33,Dengue,14,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
34,Dengue,13,"[' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
35,Dengue,13,"[' skin_rash', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
36,Dengue,13,"[' skin_rash', ' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
37,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
38,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 68, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
39,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 68, 27, 28, 43, 36, 45, 5, 38, 41, 52]"
40,Typhoid,10,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']",13,"[12, 68, 27, 29, 43, 16, 0, 21, 66, 6]"
41,Typhoid,10,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']",13,"[12, 68, 27, 29, 28, 16, 0, 21, 66, 6]"
42,Typhoid,10,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']",13,"[12, 68, 27, 29, 28, 43, 0, 21, 66, 6]"
43,Typhoid,10,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']",13,"[12, 68, 27, 29, 28, 43, 16, 21, 66, 6]"
44,Typhoid,10,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' toxic_look_(typhos)', ' belly_pain']",13,"[12, 68, 27, 29, 28, 43, 16, 0, 66, 6]"
45,Typhoid,10,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' belly_pain']",13,"[12, 68, 27, 29, 28, 43, 16, 0, 21, 6]"
46,Typhoid,10,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)']",13,"[12, 68, 27, 29, 28, 43, 16, 0, 21, 66]"
47,Typhoid,11,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']",13,"[12, 68, 27, 29, 28, 43, 16, 0, 21, 66, 6]"
48,Typhoid,11,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']",13,"[12, 68, 27, 29, 28, 43, 16, 0, 21, 66, 6]"
49,Typhoid,10,"[' chills', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']",13,"[12, 27, 29, 28, 43, 16, 0, 21, 66, 6]"
50,hepatitis A,11,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 68, 73, 19, 43, 36, 0, 21, 39, 72, 41]"
51,hepatitis A,11,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 68, 73, 19, 43, 36, 0, 21, 39, 72, 41]"
52,hepatitis A,10,"[' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[68, 73, 19, 43, 36, 0, 21, 39, 72, 41]"
53,hepatitis A,10,"[' joint_pain', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 73, 19, 43, 36, 0, 21, 39, 72, 41]"
54,hepatitis A,10,"[' joint_pain', ' vomiting', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 68, 19, 43, 36, 0, 21, 39, 72, 41]"
55,hepatitis A,10,"[' joint_pain', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 68, 73, 43, 36, 0, 21, 39, 72, 41]"
56,hepatitis A,10,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 68, 73, 19, 36, 0, 21, 39, 72, 41]"
57,hepatitis A,10,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 68, 73, 19, 43, 0, 21, 39, 72, 41]"
58,hepatitis A,10,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 68, 73, 19, 43, 36, 21, 39, 72, 41]"
59,hepatitis A,10,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",14,"[34, 68, 73, 19, 43, 36, 0, 39, 72, 41]"
60,Hepatitis B,12,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 27, 35, 73, 19, 36, 0, 71, 72, 38, 50, 51]"
61,Hepatitis B,12,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 27, 35, 73, 19, 36, 0, 71, 72, 38, 50, 51]"
62,Hepatitis B,11,"[' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[27, 35, 73, 19, 36, 0, 71, 72, 38, 50, 51]"
63,Hepatitis B,11,"['itching', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 35, 73, 19, 36, 0, 71, 72, 38, 50, 51]"
64,Hepatitis B,11,"['itching', ' fatigue', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 27, 73, 19, 36, 0, 71, 72, 38, 50, 51]"
65,Hepatitis B,11,"['itching', ' fatigue', ' lethargy', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 27, 35, 19, 36, 0, 71, 72, 38, 50, 51]"
66,Hepatitis B,11,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 27, 35, 73, 36, 0, 71, 72, 38, 50, 51]"
67,Hepatitis B,11,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 27, 35, 73, 19, 0, 71, 72, 38, 50, 51]"
68,Hepatitis B,11,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 27, 35, 73, 19, 36, 71, 72, 38, 50, 51]"
69,Hepatitis B,11,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']",4,"[74, 27, 35, 73, 19, 36, 0, 72, 38, 50, 51]"
70,Hepatitis D,9,"[' joint_pain', ' vomiting', ' fatigue', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes']",5,"[34, 68, 27, 73, 19, 43, 36, 0, 72]"
71,Hepatitis D,8,"[' vomiting', ' fatigue', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes']",5,"[68, 27, 73, 19, 43, 36, 0, 72]"
72,Hepatitis D,8,"[' joint_pain', ' fatigue', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes']",5,"[34, 27, 73, 19, 43, 36, 0, 72]"
73,Hepatitis D,8,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes']",5,"[34, 68, 73, 19, 43, 36, 0, 72]"
74,Hepatitis D,8,"[' joint_pain', ' vomiting', ' fatigue', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes']",5,"[34, 68, 27, 19, 43, 36, 0, 72]"
75,Hepatitis D,8,"[' joint_pain', ' vomiting', ' fatigue', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes']",5,"[34, 68, 27, 73, 43, 36, 0, 72]"
76,Hepatitis D,8,"[' joint_pain', ' vomiting', ' fatigue', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes']",5,"[34, 68, 27, 73, 19, 36, 0, 72]"
77,Hepatitis D,8,"[' joint_pain', ' vomiting', ' fatigue', ' yellowish_skin', ' dark_urine', ' nausea', ' abdominal_pain', ' yellowing_of_eyes']",5,"[34, 68, 27, 73, 19, 43, 0, 72]"
78,Hepatitis D,8,"[' joint_pain', ' vomiting', ' fatigue', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' yellowing_of_eyes']",5,"[34, 68, 27, 73, 19, 43, 36, 72]"
79,Hepatitis D,8,"[' joint_pain', ' vomiting', ' fatigue', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain']",5,"[34, 68, 27, 73, 19, 43, 36, 0]"
80,Hepatitis E,12,"[' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' coma', ' stomach_bleeding']",6,"[34, 68, 27, 29, 73, 19, 43, 36, 0, 72, 14, 61]"
81,Hepatitis E,13,"[' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[34, 68, 27, 29, 73, 19, 43, 36, 0, 72, 3, 14, 61]"
82,Hepatitis E,13,"[' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[34, 68, 27, 29, 73, 19, 43, 36, 0, 72, 3, 14, 61]"
83,Hepatitis E,12,"[' vomiting', ' fatigue', ' high_fever', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[68, 27, 29, 73, 19, 43, 36, 0, 72, 3, 14, 61]"
84,Hepatitis E,12,"[' joint_pain', ' fatigue', ' high_fever', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[34, 27, 29, 73, 19, 43, 36, 0, 72, 3, 14, 61]"
85,Hepatitis E,12,"[' joint_pain', ' vomiting', ' high_fever', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[34, 68, 29, 73, 19, 43, 36, 0, 72, 3, 14, 61]"
86,Hepatitis E,12,"[' joint_pain', ' vomiting', ' fatigue', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[34, 68, 27, 73, 19, 43, 36, 0, 72, 3, 14, 61]"
87,Hepatitis E,12,"[' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[34, 68, 27, 29, 19, 43, 36, 0, 72, 3, 14, 61]"
88,Hepatitis E,12,"[' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[34, 68, 27, 29, 73, 43, 36, 0, 72, 3, 14, 61]"
89,Hepatitis E,12,"[' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' acute_liver_failure', ' coma', ' stomach_bleeding']",6,"[34, 68, 27, 29, 73, 19, 36, 0, 72, 3, 14, 61]"
90,Tuberculosis,16,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' cough', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 70, 18, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
91,Tuberculosis,16,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' cough', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 70, 18, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
92,Tuberculosis,15,"[' vomiting', ' fatigue', ' weight_loss', ' cough', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[68, 27, 70, 18, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
93,Tuberculosis,15,"[' chills', ' fatigue', ' weight_loss', ' cough', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 27, 70, 18, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
94,Tuberculosis,15,"[' chills', ' vomiting', ' weight_loss', ' cough', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 70, 18, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
95,Tuberculosis,15,"[' chills', ' vomiting', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 18, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
96,Tuberculosis,15,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 70, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
97,Tuberculosis,15,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' cough', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 70, 18, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
